sens, spec, tp, fp, fn, tn, strategy, searchlevel
98.5, 31.3, 7802051, 60052271, 119193, 27392130, frontier-worst, 0
99.9, 89.5, 2635566, 9726159, 2237, 83001683, frontier-worst, 0
98.3, 38.7, 4817775, 55431511, 85075, 35031284, frontier-worst, 0
100.0, 97.4, 3604227, 2410074, 99, 89351245, frontier-worst, 0
98.4, 58.5, 15436398, 33107328, 247514, 46574405, frontier-worst, 0
99.1, 20.2, 13365294, 65353355, 122978, 16524018, frontier-worst, 0
97.6, 34.1, 15239868, 52528124, 382162, 27215491, frontier-worst, 0
98.7, 33.7, 20901450, 49182062, 281780, 25000353, frontier-worst, 0
96.9, 7.8, 8643769, 79747470, 274438, 6699968, frontier-worst, 0
98.2, 7.4, 8758663, 80051065, 161107, 6394810, frontier-worst, 0
97.2, 40.1, 12004109, 49698520, 350370, 33312646, frontier-worst, 0
95.4, 42.7, 10377892, 48423162, 495888, 36068703, frontier-worst, 0
97.2, 41.8, 7550151, 51004218, 214910, 36596366, frontier-worst, 0
96.2, 48.0, 8367038, 45049211, 329008, 41620388, frontier-worst, 0
99.8, 14.7, 8998033, 73646938, 20760, 12699914, frontier-worst, 0
